"Name","Id","CPU","MemMB"
"bash","1087","0.15","12"
"containerd","73","0.37","47.4"
"docker-init","1","0.07","0.6"
"dockerd","58","0.32","73.2"
"node","601","4.78","125.9"
"node","634","20.94","377.1"
"node","649","0.22","58.5"
"node","1073","3.29","72.6"
"node","1922","0.22","60.9"
"pwsh","3580","6.645114","164.3"
"sh","7","0.21","1.5"
"sh","386","0","1.6"
"sh","412","0","1.6"
"sh","593","0","1.9"
"sh","1531","0","1.8"
"sh","1567","0","1.8"
"sleep","10152","0","1.9"
"sshd [listener] 0 of 10-100 startups","35","0","3"
